!Agilent Technologies,E4990A,MY54201829,A.02.20
!Date: Fri Mar 18 03:40:07 2022

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+1.43070300700e+006, +3.21981811818e+003, +8.18907092851e+001
+1.44436108000e+006, +3.38001647495e+003, +8.15195915537e+001
+1.45814953900e+006, +3.55662587580e+003, +8.11076671742e+001
+1.47206962800e+006, +3.75393711747e+003, +8.06271915874e+001
+1.48612260400e+006, +3.97006055512e+003, +8.01469422352e+001
+1.50030973500e+006, +4.21673448840e+003, +7.95316693560e+001
+1.51463230300e+006, +4.49161071947e+003, +7.89105340830e+001
+1.52909159900e+006, +4.80189485270e+003, +7.81787216000e+001
+1.54368893000e+006, +5.16091753575e+003, +7.73280027736e+001
+1.55842561300e+006, +5.57238633596e+003, +7.63535242846e+001
+1.57330297900e+006, +6.06296204593e+003, +7.52089039890e+001
+1.58832236900e+006, +6.63338815592e+003, +7.38317635013e+001
+1.60348514100e+006, +7.31721204201e+003, +7.22122001333e+001
+1.61879266300e+006, +8.14538452157e+003, +7.02426822042e+001
+1.63424631700e+006, +9.17892406780e+003, +6.76490684644e+001
+1.64984749700e+006, +1.04962962167e+004, +6.43264069559e+001
+1.66559761300e+006, +1.21527962183e+004, +6.00206893542e+001
+1.68149808600e+006, +1.43169191078e+004, +5.40898515724e+001
+1.69755035100e+006, +1.70919630141e+004, +4.56174056436e+001
+1.71375585800e+006, +2.05096089578e+004, +3.36716915444e+001
+1.73011606900e+006, +2.36991399229e+004, +1.67932253926e+001
+1.74663246100e+006, +2.47082757914e+004, -3.62669553832e+000
+1.76330652600e+006, +2.28362859165e+004, -2.32882192995e+001
+1.78013976800e+006, +1.94742438904e+004, -3.87815640704e+001
+1.79713370700e+006, +1.62500767021e+004, -4.96550708020e+001
+1.81428987700e+006, +1.36275245120e+004, -5.73006144864e+001
+1.83160982600e+006, +1.15992938086e+004, -6.27148137185e+001
+1.84909511900e+006, +1.00477085809e+004, -6.66937119729e+001
+1.86674733400e+006, +8.83243295387e+003, -6.97138553003e+001
+1.88456806400e+006, +7.84791186955e+003, -7.21261434595e+001
+1.90255891800e+006, +7.06005648130e+003, -7.39866055998e+001
+1.92072152000e+006, +6.41314161904e+003, -7.55966462039e+001
+1.93905750900e+006, +5.86363304829e+003, -7.68656850545e+001
+1.95756854200e+006, +5.40120954579e+003, -7.80544991537e+001
+1.97625628800e+006, +5.00114711182e+003, -7.89237533744e+001
+1.99512243500e+006, +4.65890531442e+003, -7.97196700101e+001
+2.01416868600e+006, +4.35667105367e+003, -8.04208656334e+001
+2.03339676000e+006, +4.09012526550e+003, -8.10536220121e+001
+2.05280839300e+006, +3.85344967147e+003, -8.16096520814e+001
+2.07240533800e+006, +3.64211517695e+003, -8.21007105245e+001
+2.09218936300e+006, +3.45108654534e+003, -8.25196554334e+001
+2.11216225400e+006, +3.28135367574e+003, -8.29317708604e+001
+2.13232581500e+006, +3.12483580581e+003, -8.32831644899e+001
+2.15268186500e+006, +2.98231407498e+003, -8.35997531584e+001
+2.17323224200e+006, +2.85156902541e+003, -8.39059099222e+001
+2.19397880200e+006, +2.73211945429e+003, -8.41928424804e+001
+2.21492341700e+006, +2.62163234985e+003, -8.44414719108e+001
+2.23606797700e+006, +2.51748250862e+003, -8.46880355200e+001
+2.25741439300e+006, +2.42302479440e+003, -8.48623767094e+001
+2.27896458900e+006, +2.33373055699e+003, -8.50750456957e+001
+2.30072051300e+006, +2.25088859563e+003, -8.52618453979e+001
+2.32268412800e+006, +2.17364494106e+003, -8.54241412590e+001
+2.34485741600e+006, +2.10120217761e+003, -8.55963922450e+001
+2.36724237900e+006, +2.03354798724e+003, -8.57610564238e+001
+2.38984103900e+006, +1.96932768496e+003, -8.59077672082e+001
+2.41265543400e+006, +1.90891185776e+003, -8.60221018446e+001
+2.43568762500e+006, +1.85144925308e+003, -8.61624758823e+001
+2.45893969100e+006, +1.79798986521e+003, -8.62814423383e+001
+2.48241373000e+006, +1.74677140739e+003, -8.63920959300e+001
