!Agilent Technologies,E4990A,MY54201829,A.02.20
!Date: Thu Nov 04 14:24:30 2021

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+6.27335700000e+004, +2.77064903229e+002, +8.93606383121e+001
+6.30957340000e+004, +2.78746867007e+002, +8.93579959817e+001
+6.34599900000e+004, +2.80428743115e+002, +8.93578960774e+001
+6.38263490000e+004, +2.82049274057e+002, +8.93553229409e+001
+6.41948220000e+004, +2.83721494174e+002, +8.93543289700e+001
+6.45654230000e+004, +2.85407708248e+002, +8.93515413641e+001
+6.49381630000e+004, +2.87110944182e+002, +8.93558833374e+001
+6.53130550000e+004, +2.88807957216e+002, +8.93527971070e+001
+6.56901120000e+004, +2.90531295229e+002, +8.93549647937e+001
+6.60693450000e+004, +2.92253914919e+002, +8.93544030672e+001
+6.64507670000e+004, +2.93995358767e+002, +8.93557986716e+001
+6.68343920000e+004, +2.95757581515e+002, +8.93544498175e+001
+6.72202310000e+004, +2.97516010498e+002, +8.93567147344e+001
+6.76082980000e+004, +2.99278422104e+002, +8.93585924829e+001
+6.79986050000e+004, +3.01074450851e+002, +8.93561762058e+001
+6.83911650000e+004, +3.02878629649e+002, +8.93542965046e+001
+6.87859910000e+004, +3.04682193745e+002, +8.93541986688e+001
+6.91830970000e+004, +3.06492630511e+002, +8.93545244984e+001
+6.95824950000e+004, +3.08321217085e+002, +8.93531955510e+001
+6.99842000000e+004, +3.10175082865e+002, +8.93547416891e+001
+7.03882230000e+004, +3.12023878318e+002, +8.93557373379e+001
+7.07945780000e+004, +3.13909366360e+002, +8.93578696829e+001
+7.12032800000e+004, +3.15778762770e+002, +8.93536005342e+001
+7.16143410000e+004, +3.17675142396e+002, +8.93579482975e+001
+7.20277750000e+004, +3.19593904590e+002, +8.93577675502e+001
+7.24435960000e+004, +3.21507024618e+002, +8.93537960429e+001
+7.28618170000e+004, +3.23482828852e+002, +8.93554802890e+001
+7.32824530000e+004, +3.25400973421e+002, +8.93512862286e+001
+7.37055180000e+004, +3.27369204879e+002, +8.93542638624e+001
+7.41310240000e+004, +3.29326659046e+002, +8.93524754301e+001
+7.45589870000e+004, +3.31335964476e+002, +8.93541479177e+001
+7.49894210000e+004, +3.33333854505e+002, +8.93518563769e+001
+7.54223400000e+004, +3.35383623570e+002, +8.93530406353e+001
+7.58577580000e+004, +3.37419480838e+002, +8.93451145519e+001
+7.62956890000e+004, +3.39490721675e+002, +8.93495935686e+001
+7.67361490000e+004, +3.41549992145e+002, +8.93450201986e+001
+7.71791520000e+004, +3.43621572249e+002, +8.93491767453e+001
+7.76247120000e+004, +3.45765150442e+002, +8.93441409395e+001
+7.80728440000e+004, +3.47897119937e+002, +8.93455198445e+001
+7.85235630000e+004, +3.50020679122e+002, +8.93437632411e+001
+7.89768850000e+004, +3.52173929266e+002, +8.93451940118e+001
+7.94328230000e+004, +3.54453897246e+002, +8.93370700990e+001
+7.98913940000e+004, +3.56615136622e+002, +8.93348428741e+001
+8.03526120000e+004, +3.58842359021e+002, +8.93380123877e+001
+8.08164930000e+004, +3.61150491475e+002, +8.93305176088e+001
+8.12830520000e+004, +3.63427664200e+002, +8.93261553001e+001
+8.17523040000e+004, +3.65760769015e+002, +8.93228873465e+001
+8.22242650000e+004, +3.68148628293e+002, +8.93163014637e+001
+8.26989510000e+004, +3.70580256911e+002, +8.93129909357e+001
+8.31763770000e+004, +3.73007073334e+002, +8.93043273429e+001
+8.36565600000e+004, +3.75531045345e+002, +8.92905283304e+001
+8.41395140000e+004, +3.78146801196e+002, +8.92783625511e+001
+8.46252570000e+004, +3.80788865767e+002, +8.92608856162e+001
+8.51138040000e+004, +3.83595908187e+002, +8.92397651447e+001
+8.56051710000e+004, +3.86480706036e+002, +8.92041115070e+001
+8.60993750000e+004, +3.89566996916e+002, +8.91611969277e+001
+8.65964320000e+004, +3.92888414454e+002, +8.90840036688e+001
+8.70963590000e+004, +3.96611241596e+002, +8.89681213150e+001
+8.75991720000e+004, +4.00793584940e+002, +8.87617508678e+001
+8.81048870000e+004, +4.05566543359e+002, +8.83693565530e+001
+8.86135220000e+004, +4.10458813580e+002, +8.75445139413e+001
+8.91250940000e+004, +4.10743187532e+002, +8.59307075856e+001
+8.96396190000e+004, +3.96684078204e+002, +8.49382972939e+001
+9.01571140000e+004, +3.87494598533e+002, +8.64934883885e+001
+9.06775960000e+004, +3.90030538970e+002, +8.78244743576e+001
+9.12010840000e+004, +3.94715096360e+002, +8.84692484635e+001
+9.17275940000e+004, +3.99167341153e+002, +8.87870845698e+001
+9.22571430000e+004, +4.03188149867e+002, +8.89643688446e+001
+9.27897490000e+004, +4.06802160102e+002, +8.90664610518e+001
+9.33254300000e+004, +4.10234308536e+002, +8.91432293429e+001
+9.38642040000e+004, +4.13467947382e+002, +8.91782150724e+001
+9.44060880000e+004, +4.16562585724e+002, +8.92038268121e+001
+9.49511000000e+004, +4.19640969549e+002, +8.92307024149e+001
+9.54992590000e+004, +4.22567385761e+002, +8.92451403419e+001
+9.60505820000e+004, +4.25479278411e+002, +8.92651360547e+001
+9.66050880000e+004, +4.28371441975e+002, +8.92726636987e+001
+9.71627950000e+004, +4.31233030583e+002, +8.92779551459e+001
+9.77237220000e+004, +4.34124775173e+002, +8.92884742764e+001
+9.82878870000e+004, +4.36990766616e+002, +8.92955322464e+001
+9.88553090000e+004, +4.39821116267e+002, +8.92951360171e+001
+9.94260070000e+004, +4.42668986947e+002, +8.92997014542e+001
+1.00000000000e+005, +4.45529417204e+002, +8.93046425344e+001
+1.00577306000e+005, +4.48409852933e+002, +8.93015444125e+001
+1.01157945000e+005, +4.51327426153e+002, +8.93044939035e+001
+1.01741937000e+005, +4.54186800358e+002, +8.93038524806e+001
+1.02329299000e+005, +4.57037379551e+002, +8.93151052403e+001
